id,datasetidentifier,url,title,description,themes,keywords,updated_keywords,updated_description
1337,/af060f73-c9e4-41e3-bb06-4970aa6744c7,https://data.europa.eu/data/datasets/bfca668e-94b4-4d21-90da-18817102d0ac,INSPIRE - Annex III - Meteorological Geographical Features - PointTimeSeriesObservation - Yearly weather measurements of ASTA,"The metadata record summarizes information for time series of yearly weather measurements from the 32 meteo stations of ASTA. The dataset goes back a maximum of 50 years in time, starting at the foundation of each station.
The kind of measurements differ from station to station.

This dataset is available via the WMS Time (https://wms.inspire.geoportail.lu/geoserver/mf/wms?service=WMS&version=1.3.0&request=GetCapabilities) and WFS (https://wms.inspire.geoportail.lu/geoserver/mf/wfs?service=WFS&version=2.0.0&request=GetCapabilities) API protocols. See for example the following sample requests:

WFS: https://wms.inspire.geoportail.lu/geoserver/mf/wfs?SERVICE=wfs&VERSION=2.0.0&REQUEST=GetFeature&TRANSPARENT=true&TYPENAME=MF.PointTimeSeriesObservation_Yearly_ASTA_avg_ta200&srsName=EPSG:3857&OUTPUTFORMAT=application/json&CQL_FILTER=datetime%20BEFORE%202020-01-01T00:00:00Z%20%20AND%20datetime%20AFTER%202018-12-31T00:00:00Z%20AND%20name_descr=%20%27Arsdorf%27

WMS Time: https://wms.inspire.geoportail.lu/geoserver/mf/wms?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetMap&FORMAT=image%2Fpng&TRANSPARENT=true&STYLES&LAYERS=mf%3AMF.PointTimeSeriesObservation_Yearly_ASTA_avg_ta200&CRS=EPSG%3A3035&WIDTH=474&HEIGHT=769&BBOX=2914640.6691353433%2C4006619.263203916%2C3031916.5131074684%2C4079000.448155462&TIME=2019-01-01T00:00:00.000Z

Data is transformed into INSPIRE data model.","ncb3a7ce63a654bed8f47f82f30cedd96b3, ncb3a7ce63a654bed8f47f82f30cedd96b5, ncb3a7ce63a654bed8f47f82f30cedd96b7, ncb3a7ce63a654bed8f47f82f30cedd96b9, ncb3a7ce63a654bed8f47f82f30cedd96b11, ncb3a7ce63a654bed8f47f82f30cedd96b13, ncb3a7ce63a654bed8f47f82f30cedd96b15, ncb3a7ce63a654bed8f47f82f30cedd96b17, ncb3a7ce63a654bed8f47f82f30cedd96b19, ncb3a7ce63a654bed8f47f82f30cedd96b21, ncb3a7ce63a654bed8f47f82f30cedd96b23, http://publications.europa.eu/resource/authority/data-theme/ENVI","INSPIRE, Luxembourg, Time series, amount, climate data, rain gauge (pluviometer), sum, yearly","INSPIRE, Luxembourg, Time series, amount, climate data, rain gauge (pluviometer), sum, yearly","The metadata record summarizes information for time series of yearly weather measurements from the 32 meteo stations of ASTA. The dataset goes back a maximum of 50 years in time, starting at the foundation of each station.
The kind of measurements differ from station to station.

This dataset is available via the WMS Time (https://wms.inspire.geoportail.lu/geoserver/mf/wms?service=WMS&version=1.3.0&request=GetCapabilities) and WFS (https://wms.inspire.geoportail.lu/geoserver/mf/wfs?service=WFS&version=2.0.0&request=GetCapabilities) API protocols. See for example the following sample requests:

WFS: https://wms.inspire.geoportail.lu/geoserver/mf/wfs?SERVICE=wfs&VERSION=2.0.0&REQUEST=GetFeature&TRANSPARENT=true&TYPENAME=MF.PointTimeSeriesObservation_Yearly_ASTA_avg_ta200&srsName=EPSG:3857&OUTPUTFORMAT=application/json&CQL_FILTER=datetime%20BEFORE%202020-01-01T00:00:00Z%20%20AND%20datetime%20AFTER%202018-12-31T00:00:00Z%20AND%20name_descr=%20%27Arsdorf%27

WMS Time: https://wms.inspire.geoportail.lu/geoserver/mf/wms?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetMap&FORMAT=image%2Fpng&TRANSPARENT=true&STYLES&LAYERS=mf%3AMF.PointTimeSeriesObservation_Yearly_ASTA_avg_ta200&CRS=EPSG%3A3035&WIDTH=474&HEIGHT=769&BBOX=2914640.6691353433%2C4006619.263203916%2C3031916.5131074684%2C4079000.448155462&TIME=2019-01-01T00:00:00.000Z

Data is transformed into INSPIRE data model."
1452,5f4f4f8910f4b55843deae51,https://data.europa.eu/data/datasets/5f4f4f8910f4b55843deae51~~1,Essential data from the buyer profile Mégalis Bretagne,"This dataset makes it possible to meet the regulatory obligations concerning the publication of essential public procurement data notified by Mégalis Bretagne (in progress or completed).
It comes from an API of the Mégalis Market Hall based on the pivot format.
It complies with the national data scheme (https://github.com/139bercy/format-commande-publique).
It includes all the essential data of the bodies adhering to the service of the Public Procurement Room and having informed the “decision” stage (contract award) on the public procurement room in Mégalis Bretagne.
Data for the current year are updated automatically on a daily basis. Data from previous years are updated monthly.",N/A,"decp, marche, marche-public, marches-publics","decp, marche, marche-public, marches-publics","This dataset makes it possible to meet the regulatory obligations concerning the publication of essential public procurement data notified by Mégalis Bretagne (in progress or completed).
It comes from an API of the Mégalis Market Hall based on the pivot format.
It complies with the national data scheme (https://github.com/139bercy/format-commande-publique).
It includes all the essential data of the bodies adhering to the service of the Public Procurement Room and having informed the “decision” stage (contract award) on the public procurement room in Mégalis Bretagne.
Data for the current year are updated automatically on a daily basis. Data from previous years are updated monthly."
1458,teiis150,https://data.europa.eu/data/datasets/0bvu3zqyopl6bkmtyjewq,Turnover in industry - manufacturing,"The Turnover Index is a business cycle indicator showing the monthly evolution of the market of goods and services in the industrial sector. It also records the evolution of turnover over longer periods of time. The turnover of industry index is not deflated. It is therefore the objective of this indicator to measure the market activity in the industrial sector in value. Data are compiled according to the Statistical classification of economic activities in the European Community, (NACE Rev. 2, Eurostat). Industrial turnover is compiled as a ""fixed base year Laspeyres type volume-index"". The current base year is 2021 (Index 2021 = 100). The index is presented in calendar and seasonally adjusted form. Growth rates with respect to the previous month (M/M-1) are calculated from calendar and seasonally adjusted figures while growth rates with respect to the same month of the previous year (M/M-12) are calculated from calendar adjusted figures.",http://publications.europa.eu/resource/authority/data-theme/ECON,"Business trend indicator, Geopolitical entity (reporting), Statistical classification of economic activities in the European Community (NACE Rev. 2), Time frequency, Unit of measure","Business trend indicator, Geopolitical entity (reporting), Time frequency, Unit of measure","The Turnover Index is a business cycle indicator showing the monthly evolution of the market of goods and services in the industrial sector. It also records the evolution of turnover over longer periods of time. The turnover of industry index is not deflated. It is therefore the objective of this indicator to measure the market activity in the industrial sector in value. Data are compiled according to the Statistical classification of economic activities in the European Community, (NACE Rev. 2, Eurostat). Industrial turnover is compiled as a ""fixed base year Laspeyres type volume-index"". The current base year is 2021 (Index 2021 = 100). The index is presented in calendar and seasonally adjusted form. Growth rates with respect to the previous month (M/M-1) are calculated from calendar and seasonally adjusted figures while growth rates with respect to the same month of the previous year (M/M-12) are calculated from calendar adjusted figures."
1461,ei_isrt_q,https://data.europa.eu/data/datasets/qqgzlm7rjomx6wxpu5a0q,Retail trade index by NACE Rev. 2 activity - quarterly data,Retail trade index by NACE Rev. 2 activity - quarterly data,"http://publications.europa.eu/resource/authority/data-theme/ECON, http://publications.europa.eu/resource/authority/data-theme/GOVE, http://publications.europa.eu/resource/authority/data-theme/REGI","Geopolitical entity (reporting), Indicator, Seasonal adjustment, Statistical classification of economic activities in the European Community (NACE Rev. 2), Time frequency, Unit of measure","Geopolitical entity (reporting), Indicator, Seasonal adjustment, Time frequency, Unit of measure",Retail trade index by NACE Rev. 2 activity - quarterly data
1465,teiis180,https://data.europa.eu/data/datasets/z3ye842s0kutfv7stmnmdw,Turnover in industry - consumer durables,"The Turnover Index is a business cycle indicator showing the monthly evolution of the market of goods and services in the industrial sector. It also records the evolution of turnover over longer periods of time. The turnover of industry index is not deflated. It is therefore the objective of this indicator to measure the market activity in the industrial sector in value. Data are compiled according to the Statistical classification of economic activities in the European Community, (NACE Rev. 2, Eurostat). Industrial turnover is compiled as a ""fixed base year Laspeyres type volume-index"". The current base year is 2021 (Index 2021 = 100). The index is presented in calendar and seasonally adjusted form. Growth rates with respect to the previous month (M/M-1) are calculated from calendar and seasonally adjusted figures while growth rates with respect to the same month of the previous year (M/M-12) are calculated from calendar adjusted figures.",http://publications.europa.eu/resource/authority/data-theme/ECON,"Business trend indicator, Geopolitical entity (reporting), Statistical classification of economic activities in the European Community (NACE Rev. 2), Time frequency, Unit of measure","Business trend indicator, Geopolitical entity (reporting), Time frequency, Unit of measure","The Turnover Index is a business cycle indicator showing the monthly evolution of the market of goods and services in the industrial sector. It also records the evolution of turnover over longer periods of time. The turnover of industry index is not deflated. It is therefore the objective of this indicator to measure the market activity in the industrial sector in value. Data are compiled according to the Statistical classification of economic activities in the European Community, (NACE Rev. 2, Eurostat). Industrial turnover is compiled as a ""fixed base year Laspeyres type volume-index"". The current base year is 2021 (Index 2021 = 100). The index is presented in calendar and seasonally adjusted form. Growth rates with respect to the previous month (M/M-1) are calculated from calendar and seasonally adjusted figures while growth rates with respect to the same month of the previous year (M/M-12) are calculated from calendar adjusted figures."
1468,teiis521,https://data.europa.eu/data/datasets/cggsrkkrvvnhqsujplk6gw,Labour input in construction,"This table presents 3 indexes showing the development of labour input in the sector of construction: Number of persons employed, the hours worked and the wages and salaries. The number of person employed shows the development of employment in Construction. It can be defined as the total number of persons who work in the observation unit as well as persons who work outside the unit who belong to it and are paid by it. The hours worked show the development in the volume of work. The total number of hours worked represents the aggregate number of hours actually worked for the output of the observation unit during the reference period. The wages and salaries index approximate the development of the wage and salaries bill. Wages and salaries are defined as the total remuneration, in cash or in kind, payable to all persons counted on the payroll (including home workers), in return for work done during the accounting period, regardless of whether it is paid on the basis of working time, output or piecework and whether it is paid regularly. The construction sector corresponds to the NACE Rev. 2 section F. The indexes are presented in calendar and seasonally adjusted form.",N/A,"Business trend indicator, Geopolitical entity (reporting), Statistical classification of economic activities in the European Community (NACE Rev. 2), Time frequency, Unit of measure","Business trend indicator, Geopolitical entity (reporting), Time frequency, Unit of measure","This table presents 3 indexes showing the development of labour input in the sector of construction: Number of persons employed, the hours worked and the wages and salaries. The number of person employed shows the development of employment in Construction. It can be defined as the total number of persons who work in the observation unit as well as persons who work outside the unit who belong to it and are paid by it. The hours worked show the development in the volume of work. The total number of hours worked represents the aggregate number of hours actually worked for the output of the observation unit during the reference period. The wages and salaries index approximate the development of the wage and salaries bill. Wages and salaries are defined as the total remuneration, in cash or in kind, payable to all persons counted on the payroll (including home workers), in return for work done during the accounting period, regardless of whether it is paid on the basis of working time, output or piecework and whether it is paid regularly. The construction sector corresponds to the NACE Rev. 2 section F. The indexes are presented in calendar and seasonally adjusted form."
1469,teiis550,https://data.europa.eu/data/datasets/g3ebxpyzj2lulbjqwkhg,Building permits - monthly data,The objective of the building permit index is to show the future development of construction activity in terms of per square meter of useful floor. The current base year is 2021 (Index 2021 = 100). The index is presented in seasonally adjusted form. Growth rates with respect to the previous month (M/M-1) are calculated from seasonally adjusted figures while growth rates with respect to the same month of the previous year (M/M-12) are calculated from raw data.,http://publications.europa.eu/resource/authority/data-theme/ECON,"Business trend indicator, Geopolitical entity (reporting), Statistical classification of economic activities in the European Community (NACE Rev. 2), Time frequency, Unit of measure","Business trend indicator, Geopolitical entity (reporting), Time frequency, Unit of measure",The objective of the building permit index is to show the future development of construction activity in terms of per square meter of useful floor. The current base year is 2021 (Index 2021 = 100). The index is presented in seasonally adjusted form. Growth rates with respect to the previous month (M/M-1) are calculated from seasonally adjusted figures while growth rates with respect to the same month of the previous year (M/M-12) are calculated from raw data.
1474,ei_isset_q,https://data.europa.eu/data/datasets/0fis0x3hw7z3y2skudz3q,Turnover in services index - quarterly data,Turnover in services index - quarterly data,"http://publications.europa.eu/resource/authority/data-theme/ECON, http://publications.europa.eu/resource/authority/data-theme/GOVE, http://publications.europa.eu/resource/authority/data-theme/REGI","Business trend indicator, Geopolitical entity (reporting), Seasonal adjustment, Statistical classification of economic activities in the European Community (NACE Rev. 2), Time frequency, Unit of measure","Business trend indicator, Geopolitical entity (reporting), Seasonal adjustment, Time frequency, Unit of measure",Turnover in services index - quarterly data
1477,teiis170,https://data.europa.eu/data/datasets/yje6czcgynk3xvhso1aq7q,Turnover in industry - capital goods,"The Turnover Index is a business cycle indicator showing the monthly evolution of the market of goods and services in the industrial sector. It also records the evolution of turnover over longer periods of time. The turnover of industry index is not deflated. It is therefore the objective of this indicator to measure the market activity in the industrial sector in value. Data are compiled according to the Statistical classification of economic activities in the European Community, (NACE Rev. 2, Eurostat). Industrial turnover is compiled as a ""fixed base year Laspeyres type volume-index"". The current base year is 2021 (Index 2021 = 100). The index is presented in calendar and seasonally adjusted form. Growth rates with respect to the previous month (M/M-1) are calculated from calendar and seasonally adjusted figures while growth rates with respect to the same month of the previous year (M/M-12) are calculated from calendar adjusted figures.",http://publications.europa.eu/resource/authority/data-theme/ECON,"Business trend indicator, Geopolitical entity (reporting), Statistical classification of economic activities in the European Community (NACE Rev. 2), Time frequency, Unit of measure","Business trend indicator, Geopolitical entity (reporting), Time frequency, Unit of measure","The Turnover Index is a business cycle indicator showing the monthly evolution of the market of goods and services in the industrial sector. It also records the evolution of turnover over longer periods of time. The turnover of industry index is not deflated. It is therefore the objective of this indicator to measure the market activity in the industrial sector in value. Data are compiled according to the Statistical classification of economic activities in the European Community, (NACE Rev. 2, Eurostat). Industrial turnover is compiled as a ""fixed base year Laspeyres type volume-index"". The current base year is 2021 (Index 2021 = 100). The index is presented in calendar and seasonally adjusted form. Growth rates with respect to the previous month (M/M-1) are calculated from calendar and seasonally adjusted figures while growth rates with respect to the same month of the previous year (M/M-12) are calculated from calendar adjusted figures."
1479,teiis240,https://data.europa.eu/data/datasets/nanudw07u8kli2av201opg,Retail trade volume of sales - total,"The Retail Trade Index is a business cycle indicator which shows the monthly activity of the retail sector in value and volume. It is a short-term indicator for final domestic demand. It should be noted that the volume of sales is different from the volume of (retail) trade services. The latter takes account of changes in the quality of the trade service supplied. As such the volume of sales is conceptually different from the index of production which takes account of quality changes. Data are compiled according to the Statistical classification of economic activities in the European Community, (NACE Rev. 2, Eurostat). Turnover for retail trade are compiled as a ""fixed base year Laspeyres type volume-index"". The current base year is 2021 (Index 2021 = 100). The index is presented in calendar and seasonally adjusted form. Growth rates with respect to the previous month (M/M-1) are calculated from calendar and seasonally adjusted figures while growth rates with respect to the same month of the previous year (M/M-12) are calculated from calendar adjusted figures.",http://publications.europa.eu/resource/authority/data-theme/ECON,"Business trend indicator, Geopolitical entity (reporting), Statistical classification of economic activities in the European Community (NACE Rev. 2), Time frequency, Unit of measure","Business trend indicator, Geopolitical entity (reporting), Time frequency, Unit of measure","The Retail Trade Index is a business cycle indicator which shows the monthly activity of the retail sector in value and volume. It is a short-term indicator for final domestic demand. It should be noted that the volume of sales is different from the volume of (retail) trade services. The latter takes account of changes in the quality of the trade service supplied. As such the volume of sales is conceptually different from the index of production which takes account of quality changes. Data are compiled according to the Statistical classification of economic activities in the European Community, (NACE Rev. 2, Eurostat). Turnover for retail trade are compiled as a ""fixed base year Laspeyres type volume-index"". The current base year is 2021 (Index 2021 = 100). The index is presented in calendar and seasonally adjusted form. Growth rates with respect to the previous month (M/M-1) are calculated from calendar and seasonally adjusted figures while growth rates with respect to the same month of the previous year (M/M-12) are calculated from calendar adjusted figures."
