updated_description,updated_keywords,__index_level_0__,generated_keywords
COVID-19 (virus identified) and COVID-19 (virus not identified) Deaths Registered,"VSD48, births-deaths-and-marriages, cso",2290,"COVID-19, death"
Use of renewables for electricity - details,"Energy balance, Geopolitical entity (reporting), Time frequency, Unit of measure",2110,renewables for electricity
"The dataset is based on an analysis combining Sentinel-1 (SAR), -2 (Multispectral) and GEDI (Global Ecosystem Dynamics Investigation, LiDAR) data to model vegetation structure information.  
The derived products show high-spatial resolution maps (10 m) of total canopy cover (cover density in %), Foliage height diversity (Fhd) index in meter, plant area index (Pai) in meter and canopy height (rh95) in meter.","dlr, eoc, forest, forest-structure, gedi, geoforpy, land-cover, opendata, paraguay, sentinel-1, sentinel-2",3130,dataset
"Table of INEBase
Distribution according to nationality (Spanish or foreign) of main provider. Annual. Household Budget Survey (HBS)","Foreign national: Total, Higher Education, Nationality, Spanish, Spanish and foreigner, Statistics",3077,"inebase, nationality"
Those who experienced sexual violence as an adult by whether they used a service following their experience (% of persons aged 18 and older who experienced sexual violence as an adult),"SVS206, crime-and-justice, cso",2317,"adult, use, service"
Income quintile share ratio S80/S20 by NUTS 2 region - EU-SILC survey,"Geopolitical entity (reporting), Time frequency, Unit of measure",267,"income, s80, eu-silic"
Length of railway tracks by electrification of tracks,"Geopolitical entity (reporting), Time frequency, Transport infrastructure, Unit of measure",2003,electrification
"The table presents the stock of liabilities of loans (F.4) for the sectors Non-Financial corporations (S.11), Households (S.14) and Non-Profit institutions serving households (S.15). The debt securities are negotiable financial instruments serving as evidence of debt. Data are presented in consolidated terms, i.e. data do not take into account transactions within the same sector and expressed in % of GDP. Definitions regarding sectors and instruments are based on the ESA 2010.","Consolidated/Non consolidated, Financial position, Geopolitical entity (reporting), Sector, Time frequency, Unit of measure",839,debt securities
"Data from the ‘Effect of air pollution on plant-pollinator chemical communication’ Observing Task, part of the Monitoring pollination in the Mediterranean region (POLLIMED) Observation Service of the Montpellier Research Observatory of Environment (OSU OREME, oreme.org).","anthropization, climatic-change, environmental-monitoring-facilities, fauna, flora-biology, interaction-networks, pollen, pollimed, pollinator",1575,"pollination, chemical communication, observancy, POLIMED"
"The basis for the map are aerial photographs or orthophotos derived from them from the years 2013 to 2023. Additional auxiliary data were the ÖK50, the DKM (as of 2016) and roads of the GIP. The state of the laser DGM used varies from state to state. The dataset has been updated annually since 2020 with updated aerial photographs and orthophotos. It is always planned to publish a new updated map at the beginning of the year. The present data set was vectorized from the BFW forest layer at a resolution of 10 meters.

Created according to the forest definition according to ÖWI
- smallest unit 500m2
- minimum width is 10 meters, minimum shielding 30%
- Growth height is not a criterion, exception: in the case of new forest (50% of an area must be over 3 metres high)

- Creation period (2014-ongoing) 
- as GML and GeoPackage","Forst, HighValueDataset, Wald, Waldkarte",2827,"forest, forestry, height"
"The indicator shows the percentage distribution of persons in employment aged 20-64 by job duration, i.e. for how many months they have been in their current job. Persons in employment are those who, during the reference week, performed work, even for just one hour a week, for pay, profit or family gain or who were not at work but had a job or business from which they were temporarily absent because of something like illness, holiday, industrial dispute or education and training. The indicator is based on the EU Labour Force Survey.","Age class, Duration, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure",1232,"%%_%_PERCENTAGE%_DIVISION%_(1%)%%%0, (as of the reference week), year_adjusted_total_months-(one)"
Persons Killed and injured,"ROA15, cso, road-safety-authority-of-ireland",2586,Killed
A night spent is each night a guest/tourist (resident or non-resident) actually spends (sleeps or stays) or is registered (his/her physical presence there being unnecessary) in a tourist accommodation establishment.,"Country of residence, Geopolitical entity (reporting), Time frequency, Unit of measure",834,"accomodation, night"
Average Percentage of  Primary School Children who were absent from School for 20 days or more in the School Year,"SCA42, cso, department-of-children-equality-disability-integration-and-youth",2366,absent from school
This map shows the locations of Bike Stands/Cycle Racks prior to 2021 as there has been and large amount added to the network.,"Active Travel, Bike, Bike Racks, Cycle, Cycling, FCC, Fingal County Council, Health, Open Data, Sustainable Transport, Transport, Transportation",565,Bike Stands/Cycle Racks
Tourism Satellite Account Employment,"TSAC02, cso, tourism-and-travel",2340,employment
"Data provided by the Marine Institute, and may also incorporate data from other agencies and bodies. Ireland’s ports play a crucial role in facilitating our economic growth and prosperity, as well as food security. Ports and harbours are key sites for land-sea interaction, acting as hubs for a wide range of activities that occur in the maritime area. The National Ports Policy (NPP) provides the framework for the provision of port services. Strategic development of ports is also supported through the Government’s National Development Plan and National Planning Framework.  In a European context, Regulation (EU) No 1315/2013 sets out a common framework for the creation of state-of-the-art, interoperable networks for the development of the internal market: the trans-European transport networks (TEN-T). The NMPF aims to safeguard the operation of ports as key actors in the economic wellbeing of the State through the provision of safe and sustainable maritime transport, and to facilitate a competitive and effective market for maritime transport services. NMPF policies also help to ensure adequate capacity to meet present and future demand and emphasises the need to adapt to the impacts of climate change.","Marine Spatial Planning, dgihousing, harbours, open data, ports, shipping",650,"port, ten-t"
Suicides by Young People,"SCA36, cso, department-of-children-equality-disability-integration-and-youth",2454,teen suicide
"Persons living in a dwelling not comfortably warm during winter by sex, age and level of disability (activity limitation)","Age class, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure",1124,"sex, age, disability"
"Csv address file of the municipality of Châtelneuf. 
Code Insee 42054","42054, adresse, ban, chatelneuf, csv",1615,Châtelneuf
"The index of services production is a business indicator that measures the monthly changes in the production volume of the services industries (excluding financial and public services). Seasonally adjusted euro area and EU series are calculated by aggregating the seasonally adjusted national data. In this release, total services cover NACE Rev.2 sections H to N, excluding K. Missing observations from Member States for recent months are estimated for the calculation of the euro area and the EU aggregates.","Business trend indicator, Geopolitical entity (reporting), Seasonal adjustment, Time frequency, Unit of measure",848,sector
"Construction producer prices or costs, new residential buildings - quarterly data","Business trend indicator, Geopolitical entity (reporting), Seasonal adjustment, Time frequency, Unit of measure",14,"building, new, cost"
Reserve Assets BPM6,"BPA18, cso, international-accounts",2698,bpm6 reserve assets
Surnames of Babies in Ireland with 10 or More Occurrences,"VSA110, births-deaths-and-marriages, cso",2547,"['Scottish', 'Algernon', ""Francis""]"
"Table of INEBase
Trains movement. Annual. National. Rail Transport Statistics","Base data, Goods, Land transport, Rail Transport Statistics, Statistics, Travellers, Type of data",2984,INEbase trains movement
Deaths (total) by metropolitan region,"Metropolitan regions, Time frequency, Unit of measure",1593,"death, metropolitan, region"
"Total orders of ear tags per year divided into new double ear tags and replacement ear tags, orders from Liechtenstein included.","cattle, ear-tags, livestock, traceability",968,"ear tags, replacement, new"
"The National Forest Inventory (NFI) is a periodic survey of condition and development of the Swiss forest. It is produced in close cooperation between the Federal Office for the Environment (FOEN) and the Swiss Federal Institute for Forest, Snow and Landscape Research (WSL). This record contains information about: total number of stems, total number of stems per forest area, number of stems and number of stems per forest area","forest, forestry, national-forest-inventory",1331,"forest area, forest area"
Number of dog imports by canton (includes notifications from Liechtenstein).,"canton, companion-animals, dogs, imports",923,"imports, canton"
Actual and estimated Business Expenditure on Research and Development Expenditure,"BSA40, business-expenditure-on-research-and-development, cso",2633,"Business, spend, research"
Permanency of job (permanent or temporary) and Nace Rev. 2 activity,"Geopolitical entity (reporting), Time frequency, Unit of measure",1074,job-permanence-activity
Total groundwater and surface water abstraction per capita.,"Geopolitical entity (reporting), Time frequency, Unit of measure, Water process, Water sources",3004,"abstraction, population, total"
"Dublin Housing Task Force Q4 2019 Housing Supply Coordination Task Force For Dublin Quarter 4 2019 Returns Background - Construction 2020 In May 2014, the Government published Construction 2020 – A Strategy for a Renewed Construction Sector (link is external). This Strategy sets out Government policy to increase the capacity of the Sector to create and sustain jobs and to grow the sector to a sustainable level consistent with the demands of a modern economy. Housing Supply Coordination Taskforce for Dublin. Action 2 of Construction 2020 commits to the establishment of a Housing Supply Coordination Taskforce for Dublin. Accordingly, the Task Force was established in June 2014 and comprises of the Department of the Environment, Community and Local Government, the four Dublin local authorities (Dublin City, Fingal, South Dublin and Dún Laoghaire-Rathdown), NAMA and other agencies, with the Chief Executive of South Dublin County Council as chair. The focus of the Task Force is to address supply-related issues to the delivery of housing units in the Dublin region. The group are working together to identify housing developments that have planning permission and that are capable of delivering housing to the market.","dgihousing, dublin, housing, open data, planning, planning applications, q4 2019, task force",644,Dublin Housing Task Force Quarter 4 2019
Inpatient/Day Case waiting times,"HSPAN13, cso, department-of-health",2399,"-day, inpatient, waiting"
