updated_description,updated_keywords,__index_level_0__,generated_keywords
"List of stops, times and routes of all buses and trams of the network [STAN](http://www.reseau-stan.com/) circulating in the territory of the [Métropole du Grand-Nancy](http://www.grandnancy.eu/). 
Transportation on Demand (TAD) is not included.","grand-nancy, gtfs, metropole, nancy, stan, transport",2825,"bus, grand-nancy, tram, tramway"
"This indicator measures the share of people in current job for 12 months or less, in total employment. The indicator is based on the EU Labour Force Survey.","Age class, Country of citizenship, Geopolitical entity (reporting), Time frequency, Unit of measure",1191,"Age class, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure"
This is a Dataset of County Boundaries in the Republic of Ireland.,"administration, administrative units, boundaries, counties, county, county boundaries, county boundary, government, ie",435,"boundaries, dgigovernment, ireland"
Adult day case waiting times less than 15 months,"HSPAN12, cso, department-of-health",2656,"HSPAH22, cso, department-of-health"
"Harmonised Indices of Consumer Prices (HICP) are designed for international comparisons of consumer price inflation. HICPs are used for the assessment of the inflation convergence criterion as required under Article 121 of the Treaty of Amsterdam and by the ECB for assessing price stability for monetary policy purposes. The ECB defines price stability on the basis of the annual rate of change of the euro area HICP. HICPs are compiled on the basis of harmonised standards, binding for all Member States. Conceptually, the HICP are Laspeyres-type price indices and are computed as annual chain-indices allowing for weights changing each year. HICP are broken down by category of consumption expenditure on the basis of the ECOICOP-HICP classification. HICP are produced and published using a common index reference period (2015 = 100). Growth rates are calculated from published index levels. Indexes, as well as both growth rates with respect to the previous month (M/M-1) and with respect to the corresponding month of the previous year (M/M-12) are neither calendar nor seasonally adjusted.","Geopolitical entity (reporting), Time frequency, Unit of measure",727,"Geopolitical entity (reporting), Time frequency, Unit of measure"
Water use in the manufacturing industry by activity and supply category,"Geopolitical entity (reporting), Time frequency, Unit of measure, Water process",3012,"Activity and supply, Geopolitical entity (reporting), Time frequency, Unit of measure, Water process"
Average Television Audience of Male and Female Sporting Events,"WMI11, cso, women-and-men-in-ireland",2422,"FAW09, cso, television"
"Reduction in percentage of the risk of poverty rate, due to social transfers (calculated comparing at-risk-of poverty rates before social transfers with those after transfers; pensions are not considered as social transfers in these calculations). The indicator is based on the EU-SILC (statistics on income, social inclusion and living conditions).","Geopolitical entity (reporting), Time frequency, Unit of measure",143,"Age class, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure"
"EU Blue Cards by type of decision, occupation and citizenship","Country of citizenship, Decision, Geopolitical entity (reporting), Time frequency, Unit of measure",2001,"Country of citizenship, Decision, Geopolitical entity (reporting), Reason, Time frequency, Unit of measure"
Individuals aged 16 years and over who checked the truthfulness of information or content on online news sites or social media,"ICA210, cso, information-society",2460,"ICA36, cso, information-society"
"Table of INEBase
Divorces according to whether there was a previous separation or not. Annual. Provinces. Annulments, Separations and Divorces","Demography and population, Provinces, Security and justice, Statistics, Yes",2952,"According to previous separation, Provinces, Security and justice, Statistics"
